Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
python-fire,27202,https://github.com/google/python-fire.git,Y,N,,,Attr,Field,None,,,,,
diffusers,26481,https://github.com/huggingface/diffusers,Y,Y,get_module_from_name:src/diffusers/utils/loading_utils.py,,Attr,Attr,Function,import_aiohttp|.get/.post/.api_route|import_fastapi,,Todo,"library: get_module_from_name, get_submodule_by_name",Yes
ragflow,24695,https://github.com/infiniflow/ragflow,Y,Y,_recursive_update_param:agent/component/base.py,,Attr,Attr,Remote,import_flask|.route|import_starlette|import_fastapi,,Reported,https://gist.github.com/redacted/e7c676f39f714ec4c4a6afa3a0ba037d,
insightface,23651,https://github.com/deepinsight/insightface,Y,N,,vul in external library (stylegan2); already added it to the table,Attr,Attr,,,,,,
reflex,20541,https://github.com/reflex-dev/reflex,Y,N,,,Attr,Field,None,import_fastapi|import_starlette,,,,
minGPT,20333,https://github.com/karpathy/minGPT,Y,Y,merge_from_args:mingpt/utils.py,,Attr,Attr,Local,,,Todo,TODO: @redacted merge_from_args; --model.n_layer=10;,
unilm,20316,https://github.com/microsoft/unilm,Y,Y,,,Attr,Attr,Function,import_flask|import_gradio|import_tornado|import_starlette|.route|import_fastapi,,,"resolve_attr, _set_module_by_path",
mlflow,18953,https://github.com/mlflow/mlflow,Y,N,,no deep recursive get of base obj,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_pytorch_lightning|import_starlette|.route|import_fastapi|import_flask,,,,
zipline,17891,https://github.com/quantopian/zipline,Y,Y,,,Attr,Attr,Local,,,Todo,PoC pending.,
sd-webui-controlnet,17134,https://github.com/Mikubill/sd-webui-controlnet,Y,Y,"recursive_set:scripts/controlnet_lora.py,get_state_dict:scripts/utils.py",,Attr,Attr,Local,.get/.post/.api_route|import_fastapi|import_gradio,,Todo,"DoS, TODO: @redacted Write PoC",
taipy,17109,https://github.com/Avaiga/taipy,Y,Y,"_attrsetter:taipy/gui/utils/_attributes.py,_setscopeattr_drill:taipy/gui/utils/_attributes.py,crud_scenario:taipy/gui_core/_context.py,__assign_var:taipy/gui_core/_context.py,edit_entity:taipy/gui_core/_context.py,submit_entity:taipy/gui_core/_context.py,act_on_jobs:taipy/gui_core/_context.py,edit_data_node:taipy/gui_core/_context.py,lock_datanode_for_edit:taipy/gui_core/_context.py,__check_readable_editable:taipy/gui_core/_context.py,update_data:taipy/gui_core/_context.py,tabular_data_edit:taipy/gui_core/_context.py,_expr_decode:taipy/gui/utils/_evaluator.py,re_evaluate_expr:taipy/gui/utils/_evaluator.py,_variable_decode:taipy/gui/utils/_variable_directory.py,__init__:taipy/core/data/data_node.py,__init__:taipy/core/job/job.py,__init__:taipy/core/scenario/scenario.py",,Attr,Attr,Remote,import_flask_restful|import_flask|.route,,Assigned,,
airbyte,16374,https://github.com/airbytehq/airbyte,Y,Y,"create_google_ads_row_from_dict:airbyte-integrations/connectors/source-google-ads/integration_tests/integration_test.py,test_empty_streams:airbyte-integrations/connectors/source-google-ads/integration_tests/integration_test.py",,Attr,Attr,Function,,,,in tests only,
nni,14071,https://github.com/microsoft/nni,Y,Y,"set_nested_attr:nni/compression/utils/attr.py,copy_attr_new:nni/common/concrete_trace_utils/concrete_tracer.py",,Attr,Attr,None,add_handlers|import_tornado,,,TODO: Maybe can be triggered remotely,No
ivy,14015,https://github.com/ivy-llc/ivy,Y,Y,"_retrive_layer:ivy/functional/backends/jax/module.py,_retrive_layer:ivy/functional/backends/tensorflow/module.py,_retrive_layer:ivy/functional/frontends/torch/nn/modules/module.py",,Attr,Attr,Function,,,Todo,"library: _load_from_state_dict, _retrive_layer",
dgl,13579,https://github.com/dmlc/dgl,Y,N,_assign_attr:python/dgl/graphbolt/datapipes/utils.py,type check on before get attr,Attr/Field,Field,,,,,,Yes
dgl,13579,https://github.com/dmlc/dgl,Y,N,,,Attr,Field,,,,,,Yes
edgedb,13164,https://github.com/edgedb/edgedb,Y,N,"_visit_element:edb/common/ast/visitor.py,append_module_aliases:edb/edgeql/parser/__init__.py,_cst_to_ast:edb/edgeql/parser/__init__.py,preprocess_script:edb/edgeql/compiler/__init__.py,preprocess_script:edb/edgeql/compiler/stmtctx.py,as_plain_select:edb/pgsql/resolver/__init__.py,ensure_ql_query:edb/edgeql/compiler/astutils.py,visit_TypeCast:edb/edgeql/codegen.py,visit_TypeCast:edb/edgeql/compiler/astutils.py,maybe_unpack_row:edb/pgsql/compiler/astutils.py,genexpr:edb/common/span.py,genexpr:edb/language_server/schema.py,genexpr:edb/pgsql/dbops/base.py,get_statements:edb/pgsql/dbops/base.py,add_command:edb/pgsql/dbops/base.py,replace:edb/common/ast/base.py,iter_fields:edb/common/ast/base.py,compile_volatile_bindings:edb/pgsql/compiler/clauses.py,visit:edb/edgeql/codegen.py,visit:edb/graphql/translator.py,_visit_aliases:edb/edgeql/codegen.py,_visit_filter:edb/edgeql/codegen.py,_visit_order:edb/edgeql/codegen.py,_visit_offset_limit:edb/edgeql/codegen.py,visit_AliasedExpr:edb/edgeql/codegen.py,visit_InsertQuery:edb/edgeql/codegen.py,visit_UpdateQuery:edb/edgeql/codegen.py,visit_DeleteQuery:edb/edgeql/codegen.py,visit_SelectQuery:edb/edgeql/codegen.py,visit_ForQuery:edb/edgeql/codegen.py,visit_GroupingIdentList:edb/edgeql/codegen.py,visit_GroupingSimple:edb/edgeql/codegen.py,visit_GroupingSets:edb/edgeql/codegen.py,visit_GroupingOperation:edb/edgeql/codegen.py,visit_GroupQuery:edb/edgeql/codegen.py,visit_InternalGroupQuery:edb/edgeql/codegen.py,visit_SortExpr:edb/edgeql/codegen.py,visit_DetachedExpr:edb/edgeql/codegen.py,visit_GlobalExpr:edb/edgeql/codegen.py,visit_StrInterp:edb/edgeql/codegen.py,visit_UnaryOp:edb/edgeql/codegen.py,visit_BinOp:edb/edgeql/codegen.py,visit_IsOp:edb/edgeql/codegen.py,visit_TypeOp:edb/edgeql/codegen.py,visit_IfElse:edb/edgeql/codegen.py,visit_Tuple:edb/edgeql/codegen.py,visit_Set:edb/edgeql/codegen.py,visit_Set:edb/edgeql/compiler/func.py,visit_Set:edb/edgeql/compiler/group.py,visit_Array:edb/edgeql/codegen.py,visit_NamedTuple:edb/edgeql/codegen.py,visit_TupleElement:edb/edgeql/codegen.py,visit_Path:edb/edgeql/codegen.py,visit_Path:edb/edgeql/utils.py,visit_Shape:edb/edgeql/codegen.py,_visit_shape:edb/edgeql/codegen.py,visit_Splat:edb/edgeql/codegen.py,visit_TypeIntersection:edb/edgeql/codegen.py,visit_ShapeElement:edb/edgeql/codegen.py,visit_FunctionCall:edb/edgeql/codegen.py,visit_FunctionCall:edb/schema/functions.py,visit_Indirection:edb/edgeql/codegen.py,visit_Slice:edb/edgeql/codegen.py,visit_Index:edb/edgeql/codegen.py,visit_TypeExprLiteral:edb/edgeql/codegen.py,visit_TypeName:edb/edgeql/codegen.py,visit_Introspect:edb/edgeql/codegen.py,visit_TypeOf:edb/edgeql/codegen.py,visit_DDLQuery:edb/edgeql/codegen.py,visit_Position:edb/edgeql/codegen.py,_ddl_visit_bases:edb/edgeql/codegen.py,_ddl_add_pointer_bases:edb/edgeql/codegen.py,_ddl_clean_up_commands:edb/edgeql/codegen.py,_ddl_visit_body:edb/edgeql/codegen.py,_visit_CreateObject:edb/edgeql/codegen.py,_visit_AlterObject:edb/edgeql/codegen.py,_visit_DropObject:edb/edgeql/codegen.py,visit_Rename:edb/edgeql/codegen.py,visit_AlterAddInherit:edb/edgeql/codegen.py,visit_AlterDropInherit:edb/edgeql/codegen.py,visit_CreateDatabase:edb/edgeql/codegen.py,visit_AlterDatabase:edb/edgeql/codegen.py,visit_DropDatabase:edb/edgeql/codegen.py,visit_CreateRole:edb/edgeql/codegen.py,visit_AlterRole:edb/edgeql/codegen.py,visit_DropRole:edb/edgeql/codegen.py,visit_CreateExtensionPackage:edb/edgeql/codegen.py,visit_DropExtensionPackage:edb/edgeql/codegen.py,visit_CreateExtensionPackageMigration:edb/edgeql/codegen.py,visit_DropExtensionPackageMigration:edb/edgeql/codegen.py,visit_CreateExtension:edb/edgeql/codegen.py,visit_AlterExtension:edb/edgeql/codegen.py,visit_DropExtension:edb/edgeql/codegen.py,visit_DropFuture:edb/edgeql/codegen.py,visit_StartMigration:edb/edgeql/codegen.py,visit_AlterMigration:edb/edgeql/codegen.py,visit_DropMigration:edb/edgeql/codegen.py,visit_CreateModule:edb/edgeql/codegen.py,visit_AlterModule:edb/edgeql/codegen.py,visit_DropModule:edb/edgeql/codegen.py,visit_CreateAlias:edb/edgeql/codegen.py,visit_AlterAlias:edb/edgeql/codegen.py,visit_DropAlias:edb/edgeql/codegen.py,visit_SetField:edb/edgeql/codegen.py,visit_CreateAnnotation:edb/edgeql/codegen.py,visit_AlterAnnotation:edb/edgeql/codegen.py,visit_DropAnnotation:edb/edgeql/codegen.py,visit_CreateAnnotationValue:edb/edgeql/codegen.py,visit_AlterAnnotationValue:edb/edgeql/codegen.py,visit_DropAnnotationValue:edb/edgeql/codegen.py,visit_CreateConstraint:edb/edgeql/codegen.py,visit_AlterConstraint:edb/edgeql/codegen.py,visit_DropConstraint:edb/edgeql/codegen.py,_after_constraint:edb/edgeql/codegen.py,visit_CreateConcreteConstraint:edb/edgeql/codegen.py,visit_AlterConcreteConstraint:edb/edgeql/codegen.py,visit_DropConcreteConstraint:edb/edgeql/codegen.py,visit_CreateAccessPolicy:edb/edgeql/codegen.py,visit_AlterAccessPolicy:edb/edgeql/codegen.py,visit_DropAccessPolicy:edb/edgeql/codegen.py,visit_CreateTrigger:edb/edgeql/codegen.py,visit_AlterTrigger:edb/edgeql/codegen.py,visit_DropTrigger:edb/edgeql/codegen.py,visit_CreateRewrite:edb/edgeql/codegen.py,visit_AlterRewrite:edb/edgeql/codegen.py,visit_DropRewrite:edb/edgeql/codegen.py,visit_CreateScalarType:edb/edgeql/codegen.py,visit_AlterScalarType:edb/edgeql/codegen.py,visit_DropScalarType:edb/edgeql/codegen.py,visit_CreatePseudoType:edb/edgeql/codegen.py,visit_CreateProperty:edb/edgeql/codegen.py,visit_AlterProperty:edb/edgeql/codegen.py,visit_DropProperty:edb/edgeql/codegen.py,visit_CreateConcreteProperty:edb/edgeql/codegen.py,visit_AlterConcreteProperty:edb/edgeql/codegen.py,visit_DropConcreteProperty:edb/edgeql/codegen.py,visit_CreateLink:edb/edgeql/codegen.py,visit_AlterLink:edb/edgeql/codegen.py,visit_DropLink:edb/edgeql/codegen.py,visit_CreateConcretePointer:edb/edgeql/codegen.py,visit_CreateConcreteUnknownPointer:edb/edgeql/codegen.py,visit_AlterConcreteUnknownPointer:edb/edgeql/codegen.py,visit_CreateConcreteLink:edb/edgeql/codegen.py,visit_AlterConcretePointer:edb/edgeql/codegen.py,visit_AlterConcreteLink:edb/edgeql/codegen.py,visit_DropConcreteLink:edb/edgeql/codegen.py,visit_SetPointerType:edb/edgeql/codegen.py,visit_SetPointerCardinality:edb/edgeql/codegen.py,visit_SetPointerOptionality:edb/edgeql/codegen.py,visit_CreateObjectType:edb/edgeql/codegen.py,visit_AlterObjectType:edb/edgeql/codegen.py,visit_DropObjectType:edb/edgeql/codegen.py,_after_index:edb/edgeql/codegen.py,visit_IndexType:edb/edgeql/codegen.py,visit_CreateIndex:edb/edgeql/codegen.py,visit_AlterIndex:edb/edgeql/codegen.py,visit_DropIndex:edb/edgeql/codegen.py,visit_CreateConcreteIndex:edb/edgeql/codegen.py,visit_AlterConcreteIndex:edb/edgeql/codegen.py,visit_DropConcreteIndex:edb/edgeql/codegen.py,visit_CreateIndexMatch:edb/edgeql/codegen.py,visit_DropIndexMatch:edb/edgeql/codegen.py,visit_CreateOperator:edb/edgeql/codegen.py,visit_AlterOperator:edb/edgeql/codegen.py,visit_DropOperator:edb/edgeql/codegen.py,_function_after_name:edb/edgeql/codegen.py,visit_CreateFunction:edb/edgeql/codegen.py,visit_AlterFunction:edb/edgeql/codegen.py,visit_DropFunction:edb/edgeql/codegen.py,visit_FuncParam:edb/edgeql/codegen.py,visit_CreateCast:edb/edgeql/codegen.py,visit_AlterCast:edb/edgeql/codegen.py,visit_DropCast:edb/edgeql/codegen.py,visit_SetGlobalType:edb/edgeql/codegen.py,visit_CreateGlobal:edb/edgeql/codegen.py,visit_AlterGlobal:edb/edgeql/codegen.py,visit_DropGlobal:edb/edgeql/codegen.py,visit_ConfigSet:edb/edgeql/codegen.py,visit_ConfigInsert:edb/edgeql/codegen.py,visit_ConfigReset:edb/edgeql/codegen.py,visit_DescribeStmt:edb/edgeql/codegen.py,visit_ModuleDeclaration:edb/edgeql/codegen.py,to_source:edb/common/ast/codegen.py,to_source:edb/edgeql/codegen.py,_uncompile_dml_subject:edb/pgsql/resolver/command.py,_uncompile_insert_stmt:edb/pgsql/resolver/command.py,_uncompile_delete_stmt:edb/pgsql/resolver/command.py,_uncompile_update_stmt:edb/pgsql/resolver/command.py,_reprocess_restore_config:edb/server/compiler/compiler.py,replace_by_source_position:edb/language_server/completion.py,__init__:edb/common/parsing.py,__init__:edb/common/span.py,__init__:edb/edgeql/compiler/context.py,__init__:edb/edgeql/declarative.py,__init__:edb/language_server/completion.py,generic_visit:edb/common/ast/transformer.py,generic_visit:edb/common/span.py,generic_visit:edb/language_server/completion.py,_compile_ql_explain:edb/server/compiler/compiler.py,_compile_ql_administer:edb/server/compiler/compiler.py,_build_cache_function:edb/server/compiler/compiler.py,_compile_ql_config_op:edb/server/compiler/compiler.py,_compile_dispatch_ql:edb/server/compiler/compiler.py,_classname_quals_from_ast:edb/schema/constraints.py,_classname_quals_from_ast:edb/schema/indexes.py,_constraint_args_from_ast:edb/schema/constraints.py,_cmd_tree_from_ast:edb/schema/constraints.py,_cmd_tree_from_ast:edb/schema/delta.py,_cmd_tree_from_ast:edb/schema/functions.py,_cmd_tree_from_ast:edb/schema/globals.py,_cmd_tree_from_ast:edb/schema/indexes.py,_cmd_tree_from_ast:edb/schema/pointers.py,_cmd_tree_from_ast:edb/schema/policies.py,_cmd_tree_from_ast:edb/schema/rewrites.py,_cmd_tree_from_ast:edb/schema/triggers.py,administer_reindex:edb/server/compiler/ddl.py,_identify_administer_tables_and_cols:edb/server/compiler/ddl.py,get_fq_name:edb/edgeql/declarative.py,get_verbosename_from_fqname:edb/edgeql/declarative.py,_get_definition_in_ql:edb/language_server/definition.py,get_subcommands:edb/schema/delta.py,apply_prerequisites:edb/schema/delta.py,apply_caused:edb/schema/delta.py,_pg_create_fts_document:edb/pgsql/deltafts.py,_zombo_create_fts_document:edb/pgsql/deltafts.py,fini_dml_stmt:edb/pgsql/compiler/dml.py,process_insert_shape:edb/pgsql/compiler/dml.py,process_update_shape:edb/pgsql/compiler/dml.py,elab_expr_with_default_head:edb/tools/experimental_interpreter/elaboration.py,elab_Shape:edb/tools/experimental_interpreter/elaboration.py,elab_IsTp:edb/tools/experimental_interpreter/elaboration.py,elab_Path:edb/tools/experimental_interpreter/elaboration.py,add_bases_for_name:edb/tools/experimental_interpreter/elab_schema.py,elab_label:edb/tools/experimental_interpreter/elaboration.py,elab_where:edb/tools/experimental_interpreter/elaboration.py,elab_orderby:edb/tools/experimental_interpreter/elaboration.py,elab_UnaryOp:edb/tools/experimental_interpreter/elaboration.py,elab_single_type_expr:edb/tools/experimental_interpreter/elaboration.py,elab_Array:edb/tools/experimental_interpreter/elaboration.py,elab_Set:edb/tools/experimental_interpreter/elaboration.py,elab_aliases:edb/tools/experimental_interpreter/elaboration.py,elab_NamedTuple:edb/tools/experimental_interpreter/elaboration.py,elab_UnnamedTuple:edb/tools/experimental_interpreter/elaboration.py,elab_Indirection:edb/tools/experimental_interpreter/elaboration.py,elab_IfElse:edb/tools/experimental_interpreter/elaboration.py,eta_expand_ir:edb/edgeql/compiler/eta_expand.py,elaborate_fun_def_arg_type:edb/tools/experimental_interpreter/schema/function_elaboration.py,process_builtin_fun_def:edb/tools/experimental_interpreter/schema/function_elaboration.py,_classname_from_ast:edb/schema/indexes.py,_index_kwargs_from_ast:edb/schema/indexes.py,_cmd_from_ast:edb/schema/indexes.py,_validate_kwargs:edb/schema/indexes.py,_parse_computable:edb/schema/pointers.py,_compile_expr:edb/schema/pointers.py,compile_expr_field:edb/schema/pointers.py,_alter_begin:edb/schema/pointers.py,read_manifest:edb/language_server/project.py,_get_source_rvar:edb/pgsql/compiler/relgen.py,process_set_as_path_type_intersection:edb/pgsql/compiler/relgen.py,process_set_as_call:edb/pgsql/compiler/relgen.py,_process_set_func_with_ordinality:edb/pgsql/compiler/relgen.py,_load_schema_docs:edb/language_server/schema.py,_load_manifest:edb/language_server/schema.py,_load_std_schema:edb/language_server/schema.py,_to_source:edb/pgsql/schemamech.py,_edgeql_tree_to_expr_data:edb/pgsql/schemamech.py,ensure_set:edb/edgeql/compiler/setgen.py,merge_spans:edb/common/span.py,repeated_node_visit:edb/common/ast/visitor.py,repeated_node_visit:edb/common/span.py,load_std_module:edb/schema/std.py,graft:edb/tools/toy_eval_model.py,update_path:edb/tools/toy_eval_model.py,eval_Group:edb/tools/toy_eval_model.py,edb_base_name:edb/graphql/types.py,inline_parameters:edb/edgeql/utils.py,inline_anchors:edb/edgeql/utils.py,unwrap_set:edb/ir/utils.py,collapse_type_intersection:edb/ir/utils.py,_find_children:edb/common/ast/visitor.py,run:edb/common/ast/visitor.py,combine_field_results:edb/common/ast/visitor.py",,Attr,Attr,,,,,,
PaddleHub,12755,https://github.com/PaddlePaddle/PaddleHub,Y,N,"parse_pattern_str:modules/image/classification/esnet_x0_25_imagenet/model.py,parse_pattern_str:modules/image/classification/esnet_x0_5_imagenet/model.py,parse_pattern_str:modules/image/classification/pplcnet_x0_25_imagenet/model.py,parse_pattern_str:modules/image/classification/pplcnet_x0_35_imagenet/model.py,parse_pattern_str:modules/image/classification/pplcnet_x0_5_imagenet/model.py,parse_pattern_str:modules/image/classification/pplcnet_x0_75_imagenet/model.py,parse_pattern_str:modules/image/classification/pplcnet_x1_0_imagenet/model.py,parse_pattern_str:modules/image/classification/pplcnet_x1_5_imagenet/model.py,parse_pattern_str:modules/image/classification/pplcnet_x2_0_imagenet/model.py,parse_pattern_str:modules/image/classification/pplcnet_x2_5_imagenet/model.py,init_res:modules/image/classification/esnet_x0_25_imagenet/model.py,init_res:modules/image/classification/esnet_x0_5_imagenet/model.py,init_res:modules/image/classification/pplcnet_x0_25_imagenet/model.py,init_res:modules/image/classification/pplcnet_x0_35_imagenet/model.py,init_res:modules/image/classification/pplcnet_x0_5_imagenet/model.py,init_res:modules/image/classification/pplcnet_x0_75_imagenet/model.py,init_res:modules/image/classification/pplcnet_x1_0_imagenet/model.py,init_res:modules/image/classification/pplcnet_x1_5_imagenet/model.py,init_res:modules/image/classification/pplcnet_x2_0_imagenet/model.py,init_res:modules/image/classification/pplcnet_x2_5_imagenet/model.py,update_res:modules/image/classification/esnet_x0_25_imagenet/model.py,update_res:modules/image/classification/esnet_x0_5_imagenet/model.py,update_res:modules/image/classification/pplcnet_x0_25_imagenet/model.py,update_res:modules/image/classification/pplcnet_x0_35_imagenet/model.py,update_res:modules/image/classification/pplcnet_x0_5_imagenet/model.py,update_res:modules/image/classification/pplcnet_x0_75_imagenet/model.py,update_res:modules/image/classification/pplcnet_x1_0_imagenet/model.py,update_res:modules/image/classification/pplcnet_x1_5_imagenet/model.py,update_res:modules/image/classification/pplcnet_x2_0_imagenet/model.py,update_res:modules/image/classification/pplcnet_x2_5_imagenet/model.py,__init__:modules/image/classification/esnet_x0_25_imagenet/model.py,__init__:modules/image/classification/esnet_x0_5_imagenet/model.py,__init__:modules/image/classification/pplcnet_x0_25_imagenet/model.py,__init__:modules/image/classification/pplcnet_x0_35_imagenet/model.py,__init__:modules/image/classification/pplcnet_x0_5_imagenet/model.py,__init__:modules/image/classification/pplcnet_x0_75_imagenet/model.py,__init__:modules/image/classification/pplcnet_x1_0_imagenet/model.py,__init__:modules/image/classification/pplcnet_x1_5_imagenet/model.py,__init__:modules/image/classification/pplcnet_x2_0_imagenet/model.py,__init__:modules/image/classification/pplcnet_x2_5_imagenet/model.py",getItem index needs to be an int,Attr/Field,Attr,,import_flask|.route|import_gradio,,,,
RWKV-LM,12737,https://github.com/BlinkDL/RWKV-LM,Y,Y,"__init__:RWKV-v2-RNN/src/model_run.py,__init__:RWKV-v3/src/model_run.py,__init__:RWKV-v4/src/model_run.py,__init__:RWKV-v4neo/math_demo/run.py,__init__:RWKV-v4neo/src/model_run.py",getItem index needs to be an int,Attr,Attr,Function,,,,,
pytest,12199,https://github.com/pytest-dev/pytest,Y,N,derive_importpath:src/_pytest/monkeypatch.py,recursive import module but pytest intentionally do that,Attr,Attr,,,,,,
peewee,11300,https://github.com/coleifer/peewee,Y,Y,,,Attr,Attr,Function,import_flask|.route,,,,
stylegan2,11089,https://github.com/NVlabs/stylegan2,N,Y,,,Attr,Attr,Function,,,Todo,library: create_session,
jinja,10492,https://github.com/pallets/jinja,Y,N,"generic_visit:src/jinja2/optimizer.py,generic_visit:src/jinja2/visitor.py,visit:src/jinja2/visitor.py,blockvisit:src/jinja2/compiler.py,signature:src/jinja2/compiler.py,visit_Extends:src/jinja2/compiler.py,visit_Include:src/jinja2/compiler.py,_import_common:src/jinja2/compiler.py,visit_Import:src/jinja2/compiler.py,visit_FromImport:src/jinja2/compiler.py,visit_If:src/jinja2/compiler.py,visit_Macro:src/jinja2/compiler.py,visit_CallBlock:src/jinja2/compiler.py,visit_FilterBlock:src/jinja2/compiler.py,visit_With:src/jinja2/compiler.py,visit_ExprStmt:src/jinja2/compiler.py,visit_Output:src/jinja2/compiler.py,visit_Assign:src/jinja2/compiler.py,visit_AssignBlock:src/jinja2/compiler.py,visit_Tuple:src/jinja2/compiler.py,visit_List:src/jinja2/compiler.py,visit_Dict:src/jinja2/compiler.py,visit_Concat:src/jinja2/compiler.py,visit_Compare:src/jinja2/compiler.py,visit_Operand:src/jinja2/compiler.py,visit_Getattr:src/jinja2/compiler.py,visit_Getitem:src/jinja2/compiler.py,visit_Slice:src/jinja2/compiler.py,_filter_test_common:src/jinja2/compiler.py,visit_Filter:src/jinja2/compiler.py,visit_Test:src/jinja2/compiler.py,visit_CondExpr:src/jinja2/compiler.py,visit_Call:src/jinja2/compiler.py,visit_Keyword:src/jinja2/compiler.py,visit_MarkSafe:src/jinja2/compiler.py,visit_MarkSafeIfAutoescape:src/jinja2/compiler.py,visit_Scope:src/jinja2/compiler.py,visit_OverlayScope:src/jinja2/compiler.py,visit_EvalContextModifier:src/jinja2/compiler.py,visit_ScopedEvalContextModifier:src/jinja2/compiler.py,iter_fields:src/jinja2/nodes.py,iter_child_nodes:src/jinja2/nodes.py",ast tree,Attr,Attr,,,,,,
nicegui,10270,https://github.com/zauberzeug/nicegui,Y,N,,,N,N,,,,,,
nerfstudio,9621,https://github.com/nerfstudio-project/nerfstudio,Y,N,,no recursive deep get,Attr,Field,,,,,,
PySyft,9542,https://github.com/OpenMined/PySyft,Y,N,"debox_arg_and_migrate:packages/syft/src/syft/protocol/data_protocol.py,attach_attribute_to_syft_object:packages/syft/src/syft/types/syft_object.py",sanitization on base object,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,
ChatRWKV,9434,https://github.com/BlinkDL/ChatRWKV,Y,Y,"__init__:RWKV_in_150_lines.py,__init__:RWKV_v5_demo.py,__init__:RWKV_v6_demo.py,__init__:src/model_run.py",,Attr,Attr,Function,,,,,
