Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason,Types,,Input,,,Status,Comment,Source Sheet,
mesop,5659,https://github.com/google/mesop,Y,Y,"_recursive_update_dataclass_from_json_obj:mesop/dataclass_utils/dataclass_utils.py,generate_data:mesop/server/server.py,ws_generate_data:mesop/server/server.py",,Attr,Attr/Field,Remote,import_flask|.route|import_mesop,,Assigned,Selected.,,Github-Top-1K-0523
deepchem,5574,https://github.com/deepchem/deepchem,Y,Y,"symeig:deepchem/utils/differentiation_utils/symeig.py,getparamnames:deepchem/utils/dft_utils/grid/lebedev_grid.py,getparamnames:deepchem/utils/dft_utils/grid/multiatoms_grid.py,getparamnames:deepchem/utils/dft_utils/grid/radial_grid.py,getparamnames:deepchem/utils/dft_utils/hamilton/orbconverter.py,getparamnames:deepchem/utils/dft_utils/system/mol.py,getparamnames:deepchem/utils/dft_utils/xc/base_xc.py,getparamnames:deepchem/utils/differentiation_utils/linop.py,getparamnames:deepchem/utils/test/test_differentiation_utils.py,__init__:deepchem/utils/dft_utils/data/datastruct.py,cached_getparamnames:deepchem/utils/differentiation_utils/editable_module.py,_getparamnames:deepchem/utils/differentiation_utils/grad.py,_getparamnames:deepchem/utils/differentiation_utils/linop.py,_getparamnames:deepchem/utils/test/test_dft_utils.py,_getparamnames:deepchem/utils/test/test_differentiation_utils.py,_setup_idxs:deepchem/utils/differentiation_utils/grad.py,getlinopparams:deepchem/utils/differentiation_utils/linop.py,uselinopparams:deepchem/utils/differentiation_utils/linop.py,solve:deepchem/utils/differentiation_utils/solve.py,backward:deepchem/utils/differentiation_utils/solve.py,backward:deepchem/utils/differentiation_utils/symeig.py",,Attr/Field,Attr/Field,Function,import_flask|.route|import_pytorch_lightning,,Todo,Library: set_attr,,
infinigen,5430,https://github.com/princeton-vl/infinigen,Y,Y,"_make_node:infinigen/core/nodes/node_wrangler.py,hex_to_rgb:infinigen/assets/materials/bark_random.py,sample_params:infinigen/assets/objects/organizer/basket.py,sample_params:infinigen/assets/objects/organizer/hook.py,sample_params:infinigen/assets/objects/organizer/plate_rack.py,sample_params:infinigen/assets/objects/shelves/large_shelf.py,sample_params:infinigen/assets/objects/shelves/simple_bookcase.py,sample_params:infinigen/assets/objects/shelves/simple_desk.py,sample_params:infinigen/assets/objects/shelves/triangle_shelf.py,add_bevel:infinigen/core/util/bevelling.py,deep_clone_obj:infinigen/core/util/blender.py,iter_object_tree:infinigen/core/util/blender.py,put_in_collection:infinigen/core/util/blender.py,modify_mesh:infinigen/core/util/blender.py,selection:infinigen/assets/objects/creatures/parts/crustacean/body.py,selection:infinigen/core/placement/density.py,get_material_func:infinigen/assets/objects/shelves/cabinet.py,get_material_func:infinigen/assets/objects/shelves/doors.py,get_material_func:infinigen/assets/objects/shelves/drawers.py,get_material_func:infinigen/assets/objects/shelves/large_shelf.py,get_material_func:infinigen/assets/objects/shelves/simple_desk.py,get_material_func:infinigen/assets/objects/shelves/triangle_shelf.py,get_cabinet_params:infinigen/assets/objects/shelves/cabinet.py,get_cabinet_params:infinigen/assets/objects/shelves/kitchen_cabinet.py,get_cabinet_params:infinigen/assets/objects/shelves/single_cabinet.py,_execute_geonodes:infinigen/assets/objects/tables/cocktail_table.py,geo_extension:infinigen/assets/utils/decorate.py,scatter_res_distance:infinigen/core/placement/detail.py,target_face_size:infinigen/core/placement/detail.py,sample_parameters:infinigen/assets/objects/tables/dining_table.py,render:infinigen/core/execute_tasks.py,execute_tasks:infinigen/core/execute_tasks.py,main:infinigen/core/execute_tasks.py,asset_parameters:infinigen/core/placement/factory.py,spawn_placeholder:infinigen/core/placement/factory.py,apply:infinigen/assets/objects/tableware/fruit_container.py,__init__:infinigen/assets/objects/trees/generate.py,__init__:infinigen/core/nodes/node_wrangler.py,geo_transfer_hair_attributes:infinigen/assets/objects/creatures/util/hair.py,create_asset:infinigen/assets/objects/shelves/kitchen_cabinet.py,update_translation_params:infinigen/assets/objects/shelves/large_shelf.py,update_params:infinigen/assets/objects/tropic_plants/leaf_palm_plant.py,update_params:infinigen/assets/objects/tropic_plants/leaf_palm_tree.py,treeify:infinigen/assets/utils/mesh.py,facing_mask:infinigen/core/nodes/node_utils.py,genexpr:infinigen/assets/objects/bathroom/toilet.py,genexpr:infinigen/core/nodes/node_wrangler.py,join_objects:infinigen/assets/utils/object.py,particle_system:infinigen/core/placement/particles.py,scatter_placeholders:infinigen/core/placement/placement.py,filter_populate_targets:infinigen/core/placement/placement.py,get_place_points:infinigen/assets/objects/organizer/plate_rack.py,configure_compositor_output:infinigen/core/rendering/render.py,get_asset_params:infinigen/assets/objects/shelves/simple_desk.py,split_inview:infinigen/core/placement/split_in_view.py,transfer_att_node:infinigen/core/nodes/nodegroups/transfer_attributes.py",,Attr,Attr,Function,,,,,,
ibis,5365,https://github.com/ibis-project/ibis,Y,Y,set:ibis/config.py,,Attr,Attr,,import_streamlit,,Todo,library: Config.set,,
river,5109,https://github.com/online-ml/river,Y,Y,_mutate:river/base/base.py,,Attr,Attr,,,,,,,
captum,4962,https://github.com/pytorch/captum,Y,Y,_model_reinsert_params:captum/influence/_utils/common.py,,Attr,Attr,,import_flask|.route,,Todo,library: class NaiveInfluenceFunction.__init__ -> _retrieve_projections_naive_influence_function -> _compute_dataset_func -> _flatten_forward_factory -> _functional_call -> _custom_functional_call ->   _model_reinsert_params,,
Red-DiscordBot,4846,https://github.com/Cog-Creators/Red-DiscordBot,Y,Y,rsetattr:redbot/cogs/audio/core/utilities/miscellaneous.py,,Attr,Attr,Function,import_aiohttp|add_route,,,rsetattr,Yes,
AutoGPTQ,4541,https://github.com/AutoGPTQ/AutoGPTQ,Y,Y,recurse_setattr:auto_gptq/utils/modeling_utils.py,,Attr,Attr,Function,,,,,,
ms-swift,4503,https://github.com/modelscope/ms-swift,Y,Y,,duplicate @zhengyu,Attr/Field,Attr/Field,,import_aiohttp|import_fastapi|import_gradio,,,,No,
azure-cli-core,4071,https://github.com/Azure/azure-cli,Y,Y,,,Attr/Field,Attr/Field,Local,,,,,,
mm-cot,3823,https://github.com/amazon-science/mm-cot,Y,Y,set_layer:timm/models/helpers.py,,Attr,Attr,Function,,,,,,
PINTO_model_zoo,3624,https://github.com/PINTO0309/PINTO_model_zoo,Y,Y,"set_module:450_YOLOv9-Wholebody-with-Wheelchair/yolov9/models/quantize.py,set_module:454_YOLOv9-Wholebody13/yolov9/models/quantize.py,set_module:455_YOLOv9-Gender/yolov9/models/quantize.py,set_module:456_YOLOv9-Wholebody15/yolov9/models/quantize.py,set_module:457_YOLOv9-Wholebody17/yolov9/models/quantize.py,set_module:458_YOLOv9-Discrete-HeadPose-Yaw/yolov9/models/quantize.py,set_module:459_YOLOv9-Wholebody25/yolov9/models/quantize.py,set_module:461_YOLOv9-Phone/yolov9/models/quantize.py,set_module:463_YOLOv9-Shoulder-Elbow-Knee/yolov9/models/quantize.py,set_module:464_YOLOv9-Wholebody28/yolov9/models/quantize.py,set_module:468_YOLOv9-Wholebody28-Refine/yolov9/models/quantize.py",,Attr,Attr,Function,,,,,,
Otter,3565,https://github.com/Luodian/Otter,Y,Y,"setattr_recursive:src/otter_ai/models/flamingo/modeling_flamingo.py,setattr_recursive:src/otter_ai/models/otter/modeling_otter.py,_set_decoder_layers:src/otter_ai/models/flamingo/modeling_flamingo.py,_set_decoder_layers:src/otter_ai/models/otter/modeling_otter.py,init_flamingo:src/otter_ai/models/flamingo/modeling_flamingo.py,init_otter:src/otter_ai/models/otter/modeling_otter.py",,Attr,Attr,Function,.get/.post/.api_route|import_fastapi|import_flask|.route|import_gradio,,,,,
ai-toolkit,3550,https://github.com/ostris/ai-toolkit,Y,Y,replace_module_by_path:toolkit/lorm.py,,Attr,Attr,Local,import_gradio,,Todo,"PureLoraGenerator.__init__(model_config) -> PureLoraGenerator.run() -> StableDiffusion.load_model -> load unet model from: model_config.name_or_path (https://github.com/ostris/ai-toolkit/blob/c12036df95c1c03dc0ed60823668287c329b9963/toolkit/stable_diffusion_model.py#L296, https://github.com/ostris/ai-toolkit/blob/c12036df95c1c03dc0ed60823668287c329b9963/toolkit/stable_diffusion_model.py#L985) -> unet module contains polluted key as its structure",,
alpa,3083,https://github.com/alpa-projects/alpa,Y,Y,"lambda:alpa/torch/nn/utils.py,_get_nested_attr:alpa/torch/nn/__init__.py",,Attr,Attr,,.get/.post/.api_route|.route|import_starlette|import_fastapi,,,,,
docarray,2993,https://github.com/docarray/docarray,Y,Y,__getitem__:docarray/data/torch_dataset.py,lib,Attr,Attr,Remote,.get/.post/.api_route|import_fastapi,,Assigned,Selected.,,Github-Top-1K-0523
AI-Writer,2989,https://github.com/BlinkDL/AI-Writer,Y,Y,__init__:_new_/src/model.py,,Attr,Attr,,,,,,,
BlenderTools,2829,https://github.com/EpicGamesExt/BlenderTools,Y,Y,set_addon_property:tests/utils/blender.py,,Attr,Attr,,,,,,,
robusta,2648,https://github.com/robusta-dev/robusta,Y,Y,"_set_attr_by_path:tests/test_change_filters.py,update_item_attr:src/robusta/runner/object_updater.py",,Attr/Field,Attr/Field,Function,import_flask|.route,,,,,
django-unicorn,2434,https://github.com/adamghill/django-unicorn,Y,Y,"_process_component_request:django_unicorn/views/__init__.py,handle:django_unicorn/views/action_parsers/call_method.py,handle:django_unicorn/views/action_parsers/sync_input.py,__init__:django_unicorn/views/objects.py,set_property_value:django_unicorn/views/action_parsers/utils.py,set_property_from_data:django_unicorn/views/utils.py",,Attr/Field,Attr/Field,Remote,django_re_path|import_django|django_path,,Assigned,Selected.,,Github-Top-1K-0523
OFA,2429,https://github.com/OFA-Sys/OFA,Y,Y,"_set_module_by_path:fairseq/fairseq/trainer.py,_set_module_by_path:trainer.py,lambda:fairseq/fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq/fairseq/modules/quantization/pq/utils.py",,Attr,Attr,,,,,,,
JittorLLMs,2386,https://github.com/Jittor/JittorLLMs,Y,Y,__init__:models/chatrwkv/RWKV_in_150_lines.py,,Attr,Attr,,.get/.post/.api_route|import_fastapi|import_gradio,,,,,
IsaacLab,2358,https://github.com/isaac-sim/IsaacLab,Y,Y,update_class_from_dict:source/isaaclab/isaaclab/utils/dict.py,,Attr/Field,Attr/Field,Function,,,,,,
sverchok,2282,https://github.com/nortikin/sverchok,Y,Y,,,Attr/Field,Attr/Field,Local,,,Reported,,No,
shuup,2258,https://github.com/shuup/shuup,Y,Y,_set_part:shuup/utils/properties.py,,Attr,Attr,Function,import_django,,,remote,,
lorax,2234,https://github.com/predibase/lorax,Y,Y,setdeepattr:server/lorax_server/utils/gptq/quantize.py,,Attr,Attr,Function,import_aiohttp,,,"remote, key is uncontrollable",,
AliceMind,1983,https://github.com/alibaba/AliceMind,Y,Y,"get_from_cache:sofa/sofa/utils/backend/file_utils.py,from_pretrained:sofa/sofa/utils/backend/modeling_utils.py,_load_state_dict_into_model_low_mem:sofa/sofa/utils/backend/modeling_utils.py,find_submodule_and_param_name:sofa/sofa/utils/backend/modeling_utils.py,_set_module_by_path:VECO/NLG/fairseq/trainer.py,lambda:VECO/NLG/fairseq/modules/quantization/pq/utils.py,resolve_attr:VECO/NLG/fairseq/modules/quantization/pq/utils.py,_setattr:S4/PST/pst/utils.py",,Attr,Attr,Function,import_tornado,,,,,
helm,1967,https://github.com/stanford-crfm/helm,Y,Y,"_set_decoder_layers:src/helm/clients/vision_language/open_flamingo/src/flamingo_lm.py,init_flamingo:src/helm/clients/vision_language/open_flamingo/src/flamingo_lm.py,init_flamingo_layers:src/helm/clients/vision_language/open_flamingo/src/flamingo_lm.py,setattr_recursive:src/helm/clients/vision_language/open_flamingo/src/utils.py",,Attr,Attr,Function,.get/.post/.api_route|import_pytorch_lightning|import_bottle,,,,,
glom,1919,https://github.com/mahmoud/glom,Y,Y,"_glom:glom/core.py,from_text:glom/core.py,_t_eval:glom/core.py,first:glom/streaming.py,_make_stack:glom/test/test_error.py,_test_exc:glom/test/test_error.py",,Attr/Field,Attr/Field,Function,import_django,,Acknowledged,,,
OnmyojiAutoScript,1891,https://github.com/runhey/OnmyojiAutoScript,Y,Y,deep_set:module/config/config_model.py,,Attr,Attr,Function,.get/.post/.api_route|import_fastapi,,,,,
evennia,1832,https://github.com/evennia/evennia,Y,Y,"_menu_savefunc:evennia/contrib/base_systems/building_menu/building_menu.py,menu_setattr:evennia/contrib/base_systems/building_menu/building_menu.py",,Attr,Attr,Function,import_django|.get/.post/.api_route|django_path,,,"remote, menu_setattr",,
generative-ai-python,1665,https://github.com/google-gemini/generative-ai-python,Y,Y,"_apply_update:google/generativeai/models.py,_apply_update:google/generativeai/types/permission_types.py,_apply_update:google/generativeai/types/retriever_types.py",,Attr,Attr,,,,,client,,
Olive,1634,https://github.com/microsoft/Olive,Y,Y,get_attr:olive/common/utils.py,,Attr,Attr,,import_falcon|import_gradio,,Todo,lib: replace_submodules,,
fixinventory,1625,https://github.com/someengineering/fixinventory,Y,Y,,,Attr/Field,Attr/Field,Function,(Fixed) Not sure why previous cannot found.,,,,,
piccolo,1460,https://github.com/piccolo-orm/piccolo,Y,Y,_update_instance:piccolo/query/methods/refresh.py,,Attr,Attr,Function,.get/.post/.api_route|import_fastapi,,,key is not under control,,
pydash,1344,https://github.com/dgilland/pydash,Y,Y,iterator:src/pydash/helpers.py,,Attr/Field,Attr/Field,Function,,,,,,
deepdiff,1303,https://github.com/seperman/deepdiff,Y,Y,"_do_item_added:deepdiff/delta.py,_do_values_or_type_changed:deepdiff/delta.py,_do_item_removed:deepdiff/delta.py,_simple_set_elem_value:deepdiff/delta.py,_get_elements_and_details:deepdiff/delta.py,_path_to_elements:deepdiff/path.py",,Attr/Field,Attr/Field,Function,,,,,,
training_extensions,1145,https://github.com/openvinotoolkit/training_extensions,Y,Y,set_using_dot_delimited_key:src/otx/utils/utils.py,,Attr/Field,Attr/Field,Function,import_pytorch_lightning,,,,,
fastapi-amis-admin,1100,https://github.com/amisadmin/fastapi-amis-admin,Y,Y,"model_fields:fastapi_amis_admin/utils/pydantic.py,_update_items:fastapi_amis_admin/crud/_sqlalchemy.py",,Attr,Attr,Remote,import_starlette|import_fastapi,,Reported,Selected. report: https://gist.github.com/superboy-zjc/0bc18ea0dc4d0568c28ef5bc2f23e3b6,,Github-Top-1K-0523
Pythonista,1080,https://github.com/tdamdouni/Pythonista,Y,Y,"build_view:ui/loadpyui.py,recursiveSetAttr:markdown/markdown2pdf/reportlab/lib/utils.py","func 1 - perform a `.frame` attribute access operation after it's been deep-gotten through `eval`, which is potentially exploitable by finding and polluting a chainedly reached class having `frame` attribute, yet relatively hard to cause bad impact",Attr/Field,Attr,Function,import_aiohttp|.get/.post/.api_route|import_django|rule_instantiation|import_turbogears|import_flask|import_cherrypy|.route|@get/post/route|import_bottle,,,1 - IgnoreVal.build_view,Yes,
Diffusion-LM,1061,https://github.com/XiangLi1999/Diffusion-LM,Y,Y,,,Attr,Attr,Function,import_fastapi|import_starlette|import_streamlit,,,_load_state_dict_into_model_low_mem,Yes,
modelzoo,989,https://github.com/Cerebras/modelzoo,Y,Y,"_set_flag:src/cerebras/modelzoo/trainer/callbacks/flags.py,set_flag:src/cerebras/modelzoo/trainer/callbacks/flags.py,_set_all_flags:src/cerebras/modelzoo/trainer/callbacks/flags.py,_restore_all_flags:src/cerebras/modelzoo/trainer/callbacks/flags.py,on_train_start:src/cerebras/modelzoo/trainer/callbacks/flags.py,on_train_end:src/cerebras/modelzoo/trainer/callbacks/flags.py,on_validate_start:src/cerebras/modelzoo/trainer/callbacks/flags.py,on_validate_end:src/cerebras/modelzoo/trainer/callbacks/flags.py",,Attr,Attr,Function,import_flask|.route,,,,Yes,
StreamSpeech,986,https://github.com/ictnlp/StreamSpeech,Y,Y,"_set_module_by_path:fairseq/fairseq/trainer.py,lambda:fairseq/fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq/fairseq/modules/quantization/pq/utils.py",,Attr,Attr,,import_flask|import_tornado|.route,,,,Yes,
noah-research,877,https://github.com/huawei-noah/noah-research,Y,Y,"_set_module_by_path:noahnmt/multiuat/fairseq/fairseq/multidds_trainer.py,_set_module_by_path:noahnmt/multiuat/fairseq/fairseq/multiuncertain_trainer.py,_set_module_by_path:noahnmt/multiuat/fairseq/fairseq/trainer.py,lambda:noahnmt/multiuat/fairseq/fairseq/modules/quantization/pq/utils.py,resolve_attr:noahnmt/multiuat/fairseq/fairseq/modules/quantization/pq/utils.py",,Attr,Attr,Function,import_tornado,,,,Yes,
ODISE,875,https://github.com/NVlabs/ODISE,Y,Y,load_open_state_dict:odise/modeling/meta_arch/odise.py,,Attr,Attr,Function,import_gradio,,,,Yes,
R-Drop,870,https://github.com/dropreg/R-Drop,Y,Y,_set_module_by_path:fairseq_src/fairseq/trainer.py,,Attr,Attr,Function,import_fastapi|import_starlette,,,,Yes,
model_bakery,855,https://github.com/model-bakers/model_bakery,Y,Y,_save_related_objs:model_bakery/baker.py,,Attr,Attr,,import_django,,,,Yes,
